ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10153249,APARTMENT,PENTHOUSE,399000.0,130.0,2.0,Antwerp,Kapellen,Flanders,2950,3.0,FLANDERS,JUST_RENOVATED,1988.0,2.0,0.0,0.0,0,0
10153252,HOUSE,HOUSE,219000.0,205.0,4.0,Flemish Brabant,Rillaar,Flanders,3202,2.0,FLANDERS,GOOD,,2.0,0.0,0.0,0,0
10153253,HOUSE,EXCEPTIONAL_PROPERTY,498000.0,255.0,4.0,Antwerp,Antwerpen,Flanders,2660,2.0,FLANDERS,GOOD,1966.0,3.0,0.0,1.0,1,0
10153258,HOUSE,HOUSE,125000.0,90.0,2.0,Liège,Saint-Nicolas,Wallonie,4420,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,2,0
10153260,HOUSE,HOUSE,178000.0,87.0,2.0,East Flanders,Hamme,Flanders,9220,2.0,FLANDERS,TO_BE_DONE_UP,,2.0,0.0,1.0,1,0
10153261,HOUSE,HOUSE,270000.0,233.0,3.0,Liège,Ambresin,Wallonie,4219,2.0,WALLONIE,TO_RENOVATE,,1.0,0.0,0.0,0,0
10153263,APARTMENT,APARTMENT,375000.0,120.0,3.0,West Flanders,Koksijde,Flanders,8670,1.0,FLANDERS,JUST_RENOVATED,1967.0,1.0,0.0,0.0,1,0
10153264,APARTMENT,DUPLEX,489000.0,116.0,2.0,Antwerp,Antwerpen,Flanders,2000,2.0,FLANDERS,,,1.0,0.0,0.0,3,0
10153265,HOUSE,HOUSE,235000.0,142.0,3.0,East Flanders,Evergem,Flanders,9940,2.0,FLANDERS,,1962.0,3.0,0.0,0.0,0,0
10153266,HOUSE,HOUSE,595000.0,265.0,4.0,Walloon Brabant,Braine-l'Alleud,Wallonie,1420,2.0,WALLONIE,,1967.0,4.0,0.0,0.0,1,0
10153271,HOUSE,HOUSE,199000.0,162.0,4.0,Hainaut,Jumet,Wallonie,6040,2.0,WALLONIE,AS_NEW,,3.0,0.0,0.0,3,0
10153272,APARTMENT,APARTMENT,179000.0,45.0,1.0,West Flanders,Wenduine,Flanders,8420,3.0,FLANDERS,GOOD,,1.0,0.0,0.0,1,0
10153273,HOUSE,HOUSE,269000.0,160.0,3.0,West Flanders,Waregem,Flanders,8790,2.0,FLANDERS,GOOD,,2.0,0.0,1.0,1,0
10153277,APARTMENT,APARTMENT,199000.0,110.0,2.0,West Flanders,Wevelgem,Flanders,8560,2.0,FLANDERS,GOOD,,1.0,0.0,0.0,1,0
10153278,APARTMENT,APARTMENT,218000.0,95.0,2.0,East Flanders,Erembodegem ,Flanders,9320,1.0,FLANDERS,,1995.0,1.0,0.0,0.0,1,0
10153279,APARTMENT,APARTMENT,169000.0,70.0,2.0,West Flanders,Kortrijk,Flanders,8500,1.0,FLANDERS,GOOD,,1.0,0.0,1.0,2,0
10153286,APARTMENT,APARTMENT,580000.0,124.0,2.0,Walloon Brabant,Genval,Wallonie,1332,2.0,WALLONIE,,2020.0,2.0,0.0,1.0,1,1
10153287,HOUSE,HOUSE,425000.0,94.0,1.0,Brussels,Etterbeek,Brussels,1040,2.0,BRUSSELS,AS_NEW,,2.0,0.0,0.0,1,0
10153295,APARTMENT,DUPLEX,389000.0,93.0,2.0,Antwerp,Antwerpen,Flanders,2000,2.0,FLANDERS,,,1.0,0.0,0.0,3,0
10153298,HOUSE,HOUSE,393000.0,138.0,3.0,Antwerp,Bonheiden Rijmenam,Flanders,2820,2.0,FLANDERS,,2022.0,2.0,0.0,0.0,3,1
